id,index_id,condition,text
notice-1-1,notice-1,d,"※ 본 문자 수신 고객님만 드리는 혜택으로 타인 양도 불가합니다.
※ 안내시점 차이로 혜택을 사용하신 고객님이 포함될 수 있습니다."
notice-2-1,notice-2,c,"※ 본 문자 수신 고객님만 드리는 혜택으로 타인 양도 불가합니다.
※ 안내시점 차이로 이미 혜택을 적립 받으신 고객님이 포함될 수 있습니다."
notice-3-1,notice-3,a,"※ 본 문자 수신 고객님만 드리는 혜택으로 타인 양도 불가합니다.
※ 상기 혜택은 유효기간 내 미사용시 소멸됩니다."
notice-4-1,notice-4,b,"※ 본 문자 수신 고객님만 드리는 혜택으로 타인 양도 불가합니다.
※ 상기 혜택은 유효기간 내 미사용시 소멸됩니다."
notice-5-1,notice-5,e,"※ 본 문자 수신 고객님만 드리는 혜택으로 타인 양도 불가합니다.
※ 상기 혜택은 유효기간 내 미사용시 소멸됩니다."
notice-6-1,notice-6,f,"※ 본 문자 수신 고객님만 드리는 혜택으로 타인 양도 불가합니다.
※ 상기 혜택은 유효기간 내 미사용시 소멸됩니다."
notice-7-1,notice-7,g,"※ 본 문자 수신 고객님만 드리는 혜택으로 타인 양도 불가합니다.
※ 상기 혜택은 유효기간 내 미사용시 소멸됩니다."
notice-8-1,notice-8,h,"※ 본 문자 수신 고객님만 드리는 혜택으로 타인 양도 불가합니다.
※ 안내드린 기간 내 미사용 시 소멸됩니다."
notice-9-1,notice-9,i,"※ 본 문자 수신 고객님만 드리는 혜택으로 타인 양도 불가합니다."
notice-10-1,notice-10,j,"※ 본 문자 수신 고객님만 드리는 혜택으로 타인 양도 불가합니다.
※ 상기 혜택은 온라인몰에서 등록 후 사용 가능합니다.
※ 유효기간 내 미사용시 소멸됩니다."
notice-11-1,notice-11,기타,"※ 본 문자 수신 고객님만 드리는 혜택으로 타인 양도 불가합니다.
※ 상기 혜택은 유효기간 내 미사용시 소멸됩니다."
